111-11-1111,Bayoumi,Magdy,203,337-406-1111,photos/bayoumi.jpg,http://www.cacs.louisiana.edu/faculty/mab.html,faculty
222-22-2222,Borst,Christoph,205,337-406-2222,photos/borst.jpg,http://www.cacs.louisiana.edu/~cborst,faculty
333-33-3333,Cavanaugh,Charles,206,337-406-3333,photos/cavanaugh.jpg,http://www.cacs.louisiana.edu/~cdc/,faculty
444-44-4444,Chu,Chee-Hung Henry,207,337-406-4444,photos/chu.jpg,http://www.cacs.louisiana.edu/~cice/,faculty
555-55-5555,Dasgupta,Subrata,210,337-406-5555,photos/dasgupta.jpg,http://ics.louisiana.edu/director.html,faculty
666-66-6666,Edwards,William,214,337-406-6666,photos/edwards.jpg,http://www.cacs.louisiana.edu/~wre,faculty
777-77-7777,Efe,Kemal,215,337-406-7777,photos/efe.jpg,http://www.cacs.louisiana.edu/faculty/efe.html,faculty
888-88-8888,Feng,Gui-Liang,217,337-406-8888,photos/feng.jpg,http://www.cacs.louisiana.edu/~glf/,faculty
999-99-9999,Lakhotia,Arun,219,337-406-9999,photos/lakhotia.jpg,http://www.cacs.louisiana.edu/~arun,faculty
123-45-6789,Pomier,Cathy,222F,337-406-0000,photos/cathyp.jpg,http://www.cacs.louisiana.edu/people/staff/cathy.shtml,secretary
309-23-9074,Ponce,Ruth,222G,337-406-0001,photos/ponce.jpg,http://www.ucs.louisiana.edu/~rma1294/,research assistant
408-09-2038,Lewis,Adam,225,337-406-0002,photos/adaml.jpg,http://awlewis.awlconsulting.com/,teaching assistant
408-09-2039,Prachyabrued,Mores,225,337-406-0002,photos/mores.jpg,http://www.ucs.louisiana.edu/~mxp4758/,teaching assistant
204-08-8908,Ancona,Jed,307,337-406-9920,,http://www.geocities.com/Baja/Canyon/2873/,grader
337-48-5791,Maida,Anthony,323,348-092-0877,photos/maida.jpg,http://www.cacs.louisiana.edu/~maida/,secretary
402-09-0883,Raghavan,Vijay,332,390-009-2080,photos/raghavan.jpg,http://www.cacs.louisiana.edu/~raghavan/,secretary
402-09-0088,Rao,T.R.N.,355,307-020-4770,photos/rao.jpg,http://www.cacs.louisiana.edu/faculty/rao.html,research assistant
388-01-7731,Reiners,Dirk,311,477-098-1128,photos/dirk.jpg,http://www.dirkreiners.com/,research assistant
388-18-0245,Roden,Timothy,237,248-222-1124,photos/troden.jpg,http://www.cacs.louisiana.edu/~troden/,teaching assistant
337-12-3341,Tzeng,Nian-Feng,229,477-200-0755,photos/tzeng.jpg,http://www.cacs.louisiana.edu/~tzeng/,teaching assistant
880-99-1299,Wu,Hongyi,304,004-117-0003,photos/wu.jpg,http://www.cacs.louisiana.edu/~wu/,teaching assistant
108-10-3094,Golconda,Suresh,353,488-239-4995,photos/suresh.jpg,http://www.cacs.louisiana.edu/~sxg3148/,grader
488-27-1122,Herpin,John,342,499-229-1238,photos/herpin.jpg,,grader
477-11-3888,Radle,Mark,348,004-333-2284,photos/radle.jpg,http://www.cacs.louisiana.edu/~mgr/,grader
