2007,FA,150,194936,001,mwf,10:00A-10:50A,UN,111-11-1111,101
2007,FA,150,194938,003,mwf,11:00A-11:50A,UN,111-11-1111,101 
2007,FA,207,200576,001,mw,01:30P-02:45P,UN,222-22-2222,103
2007,FA,250,194940,001,mtwrf,09:00A-09:50A,UN,222-22-2222,103    
2007,FA,260,194941,001,tr,11:00A-12:15P,UN,333-33-3333,105
2007,FA,261,194944,001,tr,09:30A-10:45A,UN,444-44-4444,106
2007,FA,300,194945,U01,t,05:00P-07:50P,GR,555-55-5555,112
2007,FA,300,194946,001,tr,09:30A-10:45A,GR,555-55-5555,112
2007,FA,301,194947,001,tr,11:00A-12:15P,UN,666-66-6666,116
2007,FA,303,194948,001,mwf,11:00A-11:50A,UN,777-77-7777,117
2007,FA,310,194949,001,mw,09:00A-09:50A,UN,888-88-8888,117
2007,FA,327,194950,001,mw,12:00P-01:15P,UN,333-33-3333,105  
2007,FA,341,194951,001,tr,09:30A-10:45A,UN,999-99-9999,105
2007,FA,351,194952,001,tr,12:30P-01:45P,UN,999-99-9999,105
2007,FA,450,194957,001,tr,02:00P-03:15P,GRUN,444-44-4444,106
2007,SU,300,199138,U01,tr,06:00P-08:45P,UN,111-11-1111,101  
2007,SU,300,199139,001,mtwrf,10:20A-11:20A,UN,222-22-2222,103  
2007,SU,300,199140,002,mtwrf,11:30A-12:30P,UN,222-22-2222,103  
2007,SU,497,199141,001,,,UN,333-33-3333,105
2007,SU,497,199142,002,,,UN,555-55-5555,112
2007,SU,497,199143,003,,,UN,444-44-4444,106
2007,SU,498,199144,001,,,UN,333-33-3333,105
2007,SU,498,199145,002,,,UN,555-55-5555,112
2007,SU,498,199146,003,,,UN,444-44-4444,106
