111-11-1111,f,2:00A-4:00A
111-11-1111,m,8:00A-8:15A
111-11-1111,m,9:00A-9:30A
222-22-2222,w,3:00A-8:00A
222-22-2222,t,8:00A-9:00A
222-22-2222,r,9:00P-1:00A
333-33-3333,m,7:00A-7:30A
444-44-4444,w,7:00A-7:30A
444-44-4444,s,1:00A-7:30A
555-55-5555,t,8:00A-9:30A
555-55-5555,t,10:00A-11:30A
555-55-5555,t,2:00P-3:30P
555-55-5555,m,8:00A-9:30A
555-55-5555,f,8:00A-9:30A
555-55-5555,w,8:30A-9:30A
555-55-5555,r,8:00A-9:30A
555-55-5555,r,10:00A-10:30A
555-55-5555,r,8:00P-10:30P
555-55-5555,u,8:00A-9:30A
666-66-6666,r,7:00A-7:30A
666-66-6666,s,4:00A-7:10A
777-77-7777,w,7:00A-7:30A
777-77-7777,m,7:00A-7:30A
777-77-7777,f,7:00A-7:30A
888-88-8888,t,2:00P-8:00P
888-88-8888,t,7:00A-7:30A
999-99-9999,r,9:00P-10:00P
999-99-9999,f,9:00P-10:00P
999-99-9999,s,9:00P-10:00P
123-45-6789,m,8:00A-5:00P
123-45-6789,t,8:00A-5:00P
123-45-6789,w,8:00A-5:00P
123-45-6789,r,8:00A-5:00P
123-45-6789,f,8:00A-5:00P
123-45-6789,s,8:00A-5:00P
123-45-6789,u,8:00A-5:00P
309-23-9074,m,6:45A-6:50A
309-23-9074,t,6:45A-6:50A
309-23-9074,w,6:45A-6:50A
309-23-9074,r,6:45A-6:50A
309-23-9074,f,6:45A-6:50A
309-23-9074,s,6:45A-6:50A
408-09-2038,t,8:00A-9:00P
408-09-2038,w,8:00A-9:00P
408-09-2038,s,8:00A-9:00P
408-09-2039,m,8:00A-9:00P
408-09-2039,f,8:00A-9:00P
204-08-8908,m,5:00A-9:00P
204-08-8908,w,5:00A-9:00P
204-08-8908,r,5:00A-9:00P
337-48-5791,r,5:00A-9:00P
402-09-0883,r,5:00A-9:00P
402-09-0088,r,5:00A-9:00P
388-01-7731,r,5:00A-9:00P
388-18-0245,r,5:00A-9:00P
337-12-3341,r,5:00A-9:00P
880-99-1299,r,5:00A-9:00P
108-10-3094,r,5:00A-9:00P
488-27-1122,r,5:00A-9:00P
477-11-3888,r,5:00A-9:00P
337-48-5791,f,5:00A-9:00P
402-09-0883,w,5:00A-9:00P
402-09-0088,w,5:00A-9:00P
388-01-7731,f,5:00A-9:00P
388-18-0245,w,5:00A-9:00P
337-12-3341,m,5:00A-9:00P
880-99-1299,t,5:00A-9:00P
108-10-3094,t,5:00A-9:00P
488-27-1122,s,5:00A-9:00P
477-11-3888,u,5:00A-9:00P
