203,111-11-1111
205,222-22-2222
206,333-33-3333
207,444-44-4444
210,555-55-5555
214,666-66-6666
215,777-77-7777
217,888-88-8888
219,999-99-9999
222F,123-45-6789
222G,309-23-9074
225,408-09-2038
226,408-09-2039
227,unoccupied
229,337-12-3341
233,unoccupied
236,unoccupied
237,388-18-0245
239,unoccupied
241,unoccupied
301,unoccupied
302,unoccupied
303,unoccupied
304,880-99-1299
305,unoccupied
306,unoccupied
307,204-08-8908
308,unoccupied
309,unoccupied
311,388-01-7731
314,unoccupied
315,unoccupied
316,unoccupied
321,unoccupied
322,unoccupied
323,337-48-5791
324,unoccupied
325,unoccupied
326,unoccupied
327,unoccupied
331,unoccupied
332,402-09-0883
335,unoccupied
337,unoccupied
340,unoccupied
342,488-27-1122
345,unoccupied
346,unoccupied
348,477-11-3888
349,unoccupied
350,unoccupied
351,unoccupied
353,108-10-3094
354,unoccupied
355,402-09-0088
357,unoccupied
